,layer,dataset_lan,sae_lan,ce
L0-data-en-sae-en,0,en,en,0.9905171513557434
L0-data-en-sae-zh,0,en,zh,0.8299729108810425
L0-data-en-sae-mix,0,en,mix,0.9793180704116822
L1-data-en-sae-en,1,en,en,0.9923469245433807
L1-data-en-sae-zh,1,en,zh,0.901079285144806
L1-data-en-sae-mix,1,en,mix,0.9844472587108613
L2-data-en-sae-en,2,en,en,0.9873657643795013
L2-data-en-sae-zh,2,en,zh,0.8820645809173584
L2-data-en-sae-mix,2,en,mix,0.9770227789878845
L3-data-en-sae-en,3,en,en,0.9834392845630646
L3-data-en-sae-zh,3,en,zh,0.8552131950855255
L3-data-en-sae-mix,3,en,mix,0.9689678013324737
L4-data-en-sae-en,4,en,en,0.9758796036243439
L4-data-en-sae-zh,4,en,zh,0.688421082496643
L4-data-en-sae-mix,4,en,mix,0.9562827289104462
L5-data-en-sae-en,5,en,en,0.9880977272987366
L5-data-en-sae-zh,5,en,zh,0.7295867681503296
L5-data-en-sae-mix,5,en,mix,0.9791689574718475
L6-data-en-sae-en,6,en,en,0.9845907270908356
L6-data-en-sae-zh,6,en,zh,0.35348999351263044
L6-data-en-sae-mix,6,en,mix,0.9723304629325866
L7-data-en-sae-en,7,en,en,0.9795156240463256
L7-data-en-sae-zh,7,en,zh,0.10911984033882619
L7-data-en-sae-mix,7,en,mix,0.9647415101528167
L8-data-en-sae-en,8,en,en,0.9798603475093841
L8-data-en-sae-zh,8,en,zh,0.13600945081561805
L8-data-en-sae-mix,8,en,mix,0.9638009369373322
L11-data-en-sae-en,11,en,en,0.9723595559597016
L11-data-en-sae-zh,11,en,zh,0.07226374726742506
L11-data-en-sae-mix,11,en,mix,0.9510620594024658
L13-data-en-sae-en,13,en,en,0.9720095157623291
L13-data-en-sae-zh,13,en,zh,0.279799710214138
L13-data-en-sae-mix,13,en,mix,0.9545445501804352
L17-data-en-sae-en,17,en,en,0.9631015241146088
L17-data-en-sae-zh,17,en,zh,0.7988574385643006
L17-data-en-sae-mix,17,en,mix,0.9373248934745788
L0-data-zh-sae-en,0,zh,en,0.6562524139881134
L0-data-zh-sae-zh,0,zh,zh,0.9955449998378754
L0-data-zh-sae-mix,0,zh,mix,0.996146845817566
L1-data-zh-sae-en,1,zh,en,0.8210578978061676
L1-data-zh-sae-zh,1,zh,zh,0.9935496032238007
L1-data-zh-sae-mix,1,zh,mix,0.9946339964866638
L2-data-zh-sae-en,2,zh,en,0.8391145229339599
L2-data-zh-sae-zh,2,zh,zh,0.9917932271957397
L2-data-zh-sae-mix,2,zh,mix,0.9916977763175965
L3-data-zh-sae-en,3,zh,en,0.820478332042694
L3-data-zh-sae-zh,3,zh,zh,0.9892611801624298
L3-data-zh-sae-mix,3,zh,mix,0.9891029894351959
L4-data-zh-sae-en,4,zh,en,0.2727551683783531
L4-data-zh-sae-zh,4,zh,zh,0.9809545874595642
L4-data-zh-sae-mix,4,zh,mix,0.9802590668201446
L5-data-zh-sae-en,5,zh,en,0.3496559739112854
L5-data-zh-sae-zh,5,zh,zh,0.9877175569534302
L5-data-zh-sae-mix,5,zh,mix,0.9872859120368958
L6-data-zh-sae-en,6,zh,en,0.3173648685216904
L6-data-zh-sae-zh,6,zh,zh,0.9890901982784271
L6-data-zh-sae-mix,6,zh,mix,0.9888230323791504
L7-data-zh-sae-en,7,zh,en,0.15122954025864602
L7-data-zh-sae-zh,7,zh,zh,0.9820193469524383
L7-data-zh-sae-mix,7,zh,mix,0.9817043781280518
L8-data-zh-sae-en,8,zh,en,-0.13322709426283835
L8-data-zh-sae-zh,8,zh,zh,0.9788219153881073
L8-data-zh-sae-mix,8,zh,mix,0.9792773008346558
L11-data-zh-sae-en,11,zh,en,0.03260641638189554
L11-data-zh-sae-zh,11,zh,zh,0.9735504806041717
L11-data-zh-sae-mix,11,zh,mix,0.974873012304306
L13-data-zh-sae-en,13,zh,en,0.12322978302836418
L13-data-zh-sae-zh,13,zh,zh,0.9700384140014648
L13-data-zh-sae-mix,13,zh,mix,0.972385847568512
L17-data-zh-sae-en,17,zh,en,0.8102544009685516
L17-data-zh-sae-zh,17,zh,zh,0.9566783905029297
L17-data-zh-sae-mix,17,zh,mix,0.9591273367404938
L0-data-mix-sae-en,0,mix,en,0.7262050330638885
L0-data-mix-sae-zh,0,mix,zh,0.9600968480110168
L0-data-mix-sae-mix,0,mix,mix,0.992625230550766
L1-data-mix-sae-en,1,mix,en,0.8730367183685303
L1-data-mix-sae-zh,1,mix,zh,0.9697225749492645
L1-data-mix-sae-mix,1,mix,mix,0.9918037831783295
L2-data-mix-sae-en,2,mix,en,0.87917839884758
L2-data-mix-sae-zh,2,mix,zh,0.9678144335746766
L2-data-mix-sae-mix,2,mix,mix,0.9879793643951416
L3-data-mix-sae-en,3,mix,en,0.8536857545375824
